SMILES,SENTENCE
CC(C)C1CCC(C)CC1OC(=O)CC(C)O,cooling
CC(=O)OCC(COC(=O)C)OC(=O)C,"clean,dairy,sour"
CCCCCCCC(=O)OC/C=C(/CCC=C(C)C)\C,"floral,fruity,fatty,musty,pungent"
CSc1cnccn1,"earthy,nut,sulfuric,ethereal"
CCC1N=C(C)C(C)S1,"meat,nut,musty,sulfuric,coffee,cacao,vegetable"
CCC(C)SC(=O)C=C(C)C,"grass,spicy"
CC(C)CC(C)CCCC(C)O,"meat,floral,green,fruity,mushroom"
CCCCC(C#N)c1ccccc1,"whiteflower,clove,balsamic"
CCC(C)(CCc1ccccc1)OC(=O)C,"whiteflower,hyacinth,green,herbal,fruity"
C[C@@H]1CCc2c(C1)occ2C,"cooling,oily"
CC(C)CO,"ethereal,wine"
CCc1nc(C)cs1,"nut,caramellic,gourmand,coffee,sulfuric,meat"
C/C(=C\CCC1[C@@]2(C)CCCC(C)(C)C2CC[C@@]1(C)O)/CC[C@@H]1C(=C)CCCC1(C)C,"ambergris,green,resinous"
CC1CCC2(C(C)(C)CCCC2(C)O)O1,"camphor,resinous,earthy,green,cooling"
CC(C)CC1OCC(C)O1,"tropicalfruit,ethereal,ripe,liquor,sour,butter"
CCCCCCCCCCCCOC(=O)c1ccccc1O,odorless
OCCCCCCCCCCO,odorless
C1CCC(C1)S,"alliaceous,spicy,vegetable,earthy,cooked,meat"
CC(C)C(=O)OC1CC2CC1C1C=CCC21,"fruity,ambery,cacao,anisic"
CC1=CCC(CC1)C(C)(C)S,"alliaceous,grapefruit,tropicalfruit,woody"
CCC(=O)OCC(=O)OC(C)C1CCCC(C)(C)C1,"musk,ambrette,berry"
O=C1CCCC=C1,"fresh,fruity,burnt,phenolic"
CCCCCC(OC(=O)CCCCC)C,"oily,fruity,musty,pungent"
CC(C)CC(=O)SC,"sharp,ripe,cheese,fermented,vegetable,mushroom,earthy"
CC(CCOC(=O)C(O)C)C,"resinous,fruity,burnt,sweet"
CC(CC(=O)Oc1ccc(cc1)C)C,"herbal,tobacco,animalic,whiteflower,woody,balsamic"
CC(C)CCCC(C)CC#N,"lemon,aldehydic,fatty,metallic"
Cc1ccc2c(cccn2)c1,"leather,green,grass,animalic,tobacco"
C(CCN)CN,"animalic,overripe,seafood"
CC(CC=O)Sc1ccoc1C,"meat,roasted"
CSCCCC(=O)OC,"sweet,cheese,vegetable,fruity"
CC=CC(=O)C(C)CC,"nut,pungent,coffee,chemical"
CC(=O)OCCSC,"tropicalfruit,melon,rancid,meat"
c1ccc(cc1)CCc1ccccn1,"green,musty"
N,ammoniac
C(CS)CS,"meat,sulfuric"
CC1(OCC(CO1)(C)C)c1ccccc1,"grass,resinous,woody"
C/C(=C\CCC)/C(=O)O,"fruity,cheese"
C=CC1(C)CCC(C(O1)(C)C)O,"musty,herbal,fresh,floral"
CCCCCCCS,alliaceous
C=C1CC[C@]2([C@@H]1C2)C(C)C,"resinous,terpenic,citrus"
COc1cc(C=CC=O)ccc1O,"bread,cooked,earthy,vanilla,dairy"
CC(C)COC(=O)CCc1ccco1,"wine,floral,woody,tropicalfruit"
CC(C)CC(=O)C(C(C)C)Sc1ccoc1C,meat
Cc1cc(c(C)o1)S,"meat,sulfuric"
Cc1ccc2c(c1)occ2C,"oily,chemical,burnt,sweet"
CSCCCCC#N,vegetable
CC1=C(C)CCCC1C,"lemon,chemical"
Cc1cnc(C)cn1,"nut,cooked,earthy"
Cc1c(c(=O)cco1)OC(=O)C,"syrup,berry,tropicalfruit"
CCOC(=O)C1C(=CCCC1(C)C)CC,"ripe,rose,woody"
CCC(C)CN,seafood
CCC(C)C1CCCCC1=O,"cooling,camphor,woody"
CC1=CC(=O)CC(C)(C)C1,"cooling,woody,sweet,green,camphor,fruity,musty"
CC1(C)C2CC=C(C=O)[C@@H]1C2,"syrup,cinnamon,green,grass,camphor"
OC(=O)CC1CCCCC1,"sour,pungent,honey,syrup,cacao"
COc1nccnc1CC,"green,earthy"
CCOC(=O)CC,"sweet,apple,pear,fermented,ethereal,liquor"
CCCCC[C@H]1CCCC(=O)O1,"fruity,butter"
C=C(C)CCCC(C)CCOC(=O)CC(C)C,"berry,rose"
C=CC(C)(CCC=C(C)C)OC(=O)/C=C/c1ccccc1,"lily,balsamic,violetflower,green,resinous,ambery"
C/C(=C\CC1CCCC1=O)/CCC=C(C)C,"fresh,fruity,ripe"
CC(=O)CCC(=O)OC(C)C,"fruity,burnt,roasted"
CC[C@@H](C)O,"oily,wine"
CCCCCC1OCC(C)O1,"fresh,vegetable,waxy,body,dry,woody,floral,clean,chemical"
CC(=CCCC(C)CCOC(=O)C=C(C)C)C,"berry,geranium"
CC(=CCC[C@H](C)[C@@H]1C=CC(=CC1)C)C,"sharp,fresh"
CCCCCCCCOC(=O)C=CC,"wine,grass,mushroom,pungent,chemical"
CCCCCN,"ammoniac,seafood"
Cc1cnc2ccccc2n1,"coffee,nut,fruity"
CC(=O)OC1C2CC(C3C=CCC23)C1=C,"mint,floral,cooling,herbal"
CCOC(=O)CCCSC(=O)C,"sulfuric,meat"
CCc1cncc(C)n1,"roasted,earthy"
Cc1csc(n1)C(C)C,"earthy,alliaceous,fruity,coffee,meat"
CC1=CC[C@H](CC1)C(=C)C,"pungent,terpenic,fresh,herbal"
Oc1ccc2c(c1)[C@]13CCCC[C@]3([C@@H](C2)N(CC1)CC1CCC1)O,"pungent,terpenic,coniferous,floral"
CC(=O)OC(C(CC1C(C)CCCC1(C)C)C)C,"woody,fruity,ethereal,ester"
[O-2].[Ca+2],"lemon,terpenic,green"
Cc1ncc2c(n1)CSC2,"sulfuric,rancid,burnt,herbal"
CC(CC)CC(=O)O,"sour,cheese"
COc1ccc2ccccc2c1,"sweet,chemical,violetflower,orange,powdery,spicy"
CCCCCCCCCCCCOC(=O)C(C)O,butter
CC(CC(=O)O)C,"sour,cheese,body"
COc1ccccc1C=O,"vanilla,powdery,floral,sweet,smoky,chemical,almond"
CC1=CC=C(CC1)C(C)C,"pungent,terpenic,citrus"
O=C1/C(=C/c2ccccc2)/C2C(C1(C)CC2)(C)C,odorless
CCCCCCCCCCCCCC(=O)OC(C(CCC(C)C)CCC(C)C)C,odorless
COc1nccnc1CC(C)C,"green,floral,pepper"
CC(=CC=CC(=O)C)C,"cinnamon,coconut,woody,sweet,grass"
OC1C2(C)CCCC1(C)C1C2CC(C1)(C)C,"woody,musty,balsamic"
COc1nccnc1C,"vegetable,roasted"
CC(COC(=O)C(O)C)C,"fruity,caramellic,burnt"
CCCC(=O)OCC(C)OC(=O)CCC,"sweet,fruity,butter"
CCCCC=CC(=O)O,"grass,fruity,ethereal"
CCCCCCc1ccc(cc1)/C=C/C(OC)OC,"fresh,green,fatty,earthy,woody"
O=C(c1ccccc1)OC(COC(=O)c1ccccc1)COC(=O)c1ccccc1,odorless
c1ccncc1,"rancid,sour,overripe,seafood"
C[C@@H]1C(=O)C(=C(C)O1)OC,"burnt,caramellic"
C=C(C)C=O,"hyacinth,earthy"
c1cscc1S,"cooked,meat,alliaceous"
CC(C)CC(=O)Oc1ccc(C)cc1,"tobacco,animalic,sweet,herbal"
CC1(C)C2C=CC(C)(CC2)O1,"mint,lemon"
CC(=O)OCC1CCC(C)(C)C23CC4CC2C13C4(C)C,"woody,ambery,ethereal,ester,herbal"
C/C=C/C(=O)OC/C=C(\C)/CCC=C(C)C,"syrup,almond,spicy,nut"
CC1CC(C)C(=O)C1=O,syrup
CC(=CCC/C(=C/CN=C(C1CC1)O)/C)C,"cooked,caramellic,meat"
CCC(=O)C(C)S,"roasted,meat"
CC(=CCC/C(=C/C=N/c1ccccc1C(=O)OC)/C)C,"lemon,floral"
CCCCCC=CCC(=O)OC,"fruity,sweet,green,melon,cheese,pear,body,dry"
CC(C)(C)C1CCC(CC1)O,"musk,earthy,musty,camphor,leather"
O=C1COC(=C1O)C,"berry,meat"
CC1=C(C(=O)CC1)O,syrup
CCOC(=O)CC(C)S,"sulfuric,roasted,sweet,sour"
CC(C)OC(=O)c1ccccc1N,"violetflower,floral,sweet,honey"
c1ccc(cc1)CC(=O)Cc1ccccc1,"almond,plastic"
CCCCc1cccs1,"fruity,floral,dairy,cooked,meat"
CCCCCC[C@@H](C)O,"dairy,cucumber,sour"
COCC1OC(OC)C(C([C@@H]1O[C@@H]1OC(COC)C(C(C1OC)OC)OC)OC)OC,odorless
CCC(C1OCC=CCO1)CC,"herbal,violetflower,lemon,woody,jasmin"
CC(Cc1ccc(cc1)OC)C=O,"sweet,herbal,fennel,berry,green"
CCC(CCCC(O)(C)C)C,"lemon,floral"
O=C(Nc1ccc(cc1)S(=O)(=O)Nc1nccs1)CCC(=O)O.O,lemon
CC[C@@H](C)C(=O)O,"cheese,body"
C=C(C)CCC(=O)C,"grass,earthy,vegetable"
CC(C)(CC=O)S,"gourmand,cheese"
CCC1SC(CC)SS1,"sulfuric,cooked,roasted"
O=C1CC2C(C1(C)CC2)(C)C,"fresh,camphor,coniferous"
